stone_path,label
.\Blue Agate geode Stock Photo.png,Agate
.\Blue Agate geod1112.png,Agate
.\Orange cabochon stone on a white background.png,Agate
".\Macro shooting of natural gemstone. Raw mineral agate, India. Isolated object on a white background..png",Agate
.\Black Botryoidal Bubbly Agate Geode Globular Volcanic Rough Gemstone Unique  Collecable Clear Chalcedony Globulars Turkish Agate No Filter.png,Agate
.\Oval yellow cabochon stone on a white isolated background.png,Agate
.\Black and white photography. Crystal background. Close-up..png,Agate
.\15.png,Agate
.\15.png,Agate
.\15.png,Agate
.\15.png,Agate
.\15.png,Agate
.\15.png,Agate
.\15.png,Agate
.\15.png,Agate
".\Macro shooting of natural gemstone. Raw mineral agate, India. Isolated object on a white background..png",Agate
.\15.png,Agate
.\15.png,Agate
.\15.png,Agate
".\Macro shooting of natural gemstone. Raw mineral agate, India. Isolated object on a white background..png",Agate
".\Macro shooting of natural gemstone. Raw mineral agate, India. Isolated object on a white background. Stock Photo.png",Agate
.\15.png,Agate
.\15.png,Agate
.\15.png,Agate
.\15.png,Agate
.\Collection of various green gemstones with names isolated on white.png,Agate
.\15.png,Agate
.\15.png,Agate
.\Polished slice of agate stone crystal with reflection on black surface background Stock Photo.png,Agate
.\Set of various 9071.png,Agate
.\Colorful stone 2376.png,Agate
.\macro shooting 5079.png,Agate
.\macro shooting 5106.png,Agate
.\Colorful seamle2370.png,Agate
.\Colorful seamle2369.png,Agate
.\Colorful seamle2368.png,Agate
.\Colorful marble2356.png,Agate
".\Colorful marble texture stock photo, abstract..png",Agate
".\Colorful marble texture stock photo, abstract agete. Stock Photo.png",Agate
".\Colorful Crystal texture, design element..png",Agate
".\Colorful Crystal texture, design element. Stock Photo.png",Agate
.\Colorful Crysta2343.png,Agate
".\Colored polished agate in wooden white boxes. Top view. Copy, empty space for text. Stock Photo.png",Agate
".\Colored polished agate in wooden white boxes. Top view. Copy, empty space for text. Stock Photo.png",Agate
".\Colored polished agate in wooden white boxes. Top view. Copy, empty space for text. Stock Photo.png",Agate
".\set of Sapphirine (Blue Lace Agate, Chalcedony) gemstones isolated on white background.png",Agate
.\Concentric patt2385.png,Agate
.\Concentric patterns and textures of Natural Agate slice for background..png,Agate
".\set of Sapphirine (Blue Lace Agate, Chalcedony) gemstones isolated on white background.png",Agate
".\Beautiful natural blue gemstones on grey table, space for text.png",Agate
